nationality,sport,age,male,height,weight,won_any,won_gold,total_medals
USA,athletics,35,0,171,90,0,0,0
NZL,football,31,0,173,66,0,0,0
GBR,shooting,18,0,158,52,0,0,0
QAT,handball,22,1,195,100,0,0,0
USA,athletics,25,1,181,82,0,0,0
FRA,football,23,0,164,54,0,0,0
BIH,athletics,25,1,187,77,0,0,0
SRB,athletics,23,0,169,54,0,0,0
ARG,handball,27,0,180,73,0,0,0
USA,aquatics,25,0,161,51,0,0,0
NZL,hockey,25,0,172,71,0,0,0
ARG,shooting,39,0,160,50,0,0,0
CAN,triathlon,23,0,168,53,0,0,0
AUT,wrestling,28,1,180,91,0,0,0
JPN,judo,21,0,156,48,1,0,1
FRA,cycling,21,1,173,78,0,0,0
AUS,aquatics,20,0,167,58,0,0,0
ALG,athletics,28,0,165,55,0,0,0
BIH,aquatics,19,0,173,62,0,0,0
ALG,rowing,30,0,173,60,0,0,0
NGR,wrestling,23,0,165,58,0,0,0
TUN,handball,26,1,196,102,0,0,0
ALG,athletics,25,1,175,65,0,0,0
TGA,aquatics,26,1,186,80,0,0,0
IRI,volleyball,25,1,202,90,0,0,0
GEO,judo,28,1,162,64,0,0,0
ISR,aquatics,26,0,170,65,0,0,0
IRQ,football,19,1,180,72,0,0,0
IRQ,football,23,1,180,76,0,0,0
MAW,aquatics,18,0,163,61,0,0,0
SUD,athletics,25,0,175,59,0,0,0
TUN,athletics,31,1,176,63,0,0,0
EGY,modern pentathlon,29,1,185,75,0,0,0
USA,athletics,32,0,163,45,0,0,0
AUS,cycling,23,0,172,63,0,0,0
CAN,equestrian,39,0,183,59,0,0,0
SEN,athletics,30,0,175,80,0,0,0
GBR,gymnastics,16,0,152,47,1,0,1
AUS,rugby sevens,32,0,168,64,1,1,1
GBR,rugby sevens,24,0,167,69,0,0,0
RSA,cycling,28,0,160,50,0,0,0
BRA,fencing,22,0,167,58,0,0,0
POR,athletics,32,0,163,48,0,0,0
BRA,athletics,27,0,158,56,0,0,0
SRB,basketball,26,0,183,70,1,0,1
CRO,gymnastics,17,0,164,58,0,0,0
POR,athletics,33,0,166,53,0,0,0
ARG,volleyball,30,0,173,66,0,0,0
ROU,aquatics,13,0,183,60,0,0,0
SRB,tennis,28,0,177,63,0,0,0
DOM,athletics,26,0,168,56,0,0,0
CRO,tennis,18,0,174,73,0,0,0
BRA,sailing,26,0,171,68,0,0,0
ROU,gymnastics,17,0,164,42,0,0,0
BRA,aquatics,24,0,165,66,0,0,0
ROU,fencing,31,0,175,64,1,1,1
COL,archery,30,0,160,63,0,0,0
BRA,handball,28,0,172,67,0,0,0
BRA,canoe,27,0,176,71,0,0,0
ESP,gymnastics,18,0,151,45,0,0,0
COL,rugby sevens,24,0,168,69,0,0,0
POR,gymnastics,28,0,158,53,0,0,0
FIJ,rugby sevens,28,0,162,55,0,0,0
COL,cycling,26,0,156,51,0,0,0
BRA,canoe,20,0,163,58,0,0,0
